cell_id,lat,lon,elevation_m,slope_deg,flow_accumulation,drain_capacity_pct,impervious_pct
C-000000,28.4,77.0,205.1734325370265,0.34076888643402503,195.72589049571422,48.45512965938761,62.30331352340464
C-000001,28.4,77.01,205.40598305497775,0.4100443968790899,158.6625126562047,54.493263004374356,62.74384331694116
C-000002,28.4,77.02000000000001,201.20439437107578,0.7846949117289783,110.73172150728095,77.63773557360611,67.75551680226215
C-000003,28.4,77.03000000000002,207.10205117388458,0.4294614126180114,121.29014423657381,60.455188839984174,82.1584782256318
C-000004,28.4,77.04000000000002,208.8997176017166,0.2127291013787878,188.4890313610366,56.02957380705491,65.22197200761835
C-000005,28.4,77.05000000000003,203.1428750913814,0.16371396291106532,102.52583378418676,61.031573062867025,64.50583153986011
C-000006,28.4,77.06000000000003,212.06061816184157,0.602055218692076,149.35175448637807,67.28923408777021,75.80774279066856
C-000007,28.4,77.07000000000004,202.74975254336712,0.5202650769020039,226.60431027234165,57.360504151720484,87.40182884432537
C-000008,28.4,77.08000000000004,208.02435992401746,0.505855054491025,102.6889681434051,50.71712516319149,84.99356354074085
C-000009,28.4,77.09000000000005,205.64077767312904,0.7391252561221808,100.96015577839165,63.05814733215936,80.09950334086574
C-000010,28.4,77.10000000000005,208.4373283244264,0.6842097723590096,210.5475027830072,45.26449930222718,66.03595008002763
C-000011,28.4,77.11000000000006,202.01206295301407,0.7193549214827759,156.58667803516602,68.89067671144755,67.63367325923235
C-000012,28.4,77.12000000000006,204.42796130980807,0.4869943358365193,103.04727058861496,39.4269086643217,58.96902566821932
C-000013,28.4,77.13000000000007,201.44026673256215,0.5040801368305386,147.80779638890465,45.71020735449548,72.14693874107547
C-000014,28.4,77.14000000000007,203.81107111878154,0.6223078297054874,111.4144714389237,45.89579193760628,76.54893840765847
C-000015,28.4,77.15000000000008,205.13166032825794,0.5784559378913653,128.97675142794884,61.830942996651295,81.26359262882646
C-000016,28.4,77.16000000000008,209.18548098487926,0.7566445921040481,184.78135507897474,54.10354362172363,87.30066511937095
C-000017,28.4,77.17000000000009,204.7458916800027,0.4832577653489917,122.83116087278486,55.20897553422271,69.00411342874985
C-000018,28.4,77.18000000000009,203.58035392829652,0.8100739323383274,110.03929912339551,75.0563844639073,59.160250416575906
C-000019,28.4,77.1900000000001,201.2379851326171,0.8627482084121911,144.6476005319244,35.431509213821016,78.92977688774505
C-000020,28.4,77.2000000000001,202.79196381236846,0.45446081670271704,104.89122035620267,83.74314479658872,53.952010190968245
C-000021,28.4,77.21000000000011,203.77699511768074,0.7895370246880071,117.00622450956564,46.619872453974104,87.43355195750146
C-000022,28.4,77.22000000000011,209.359090644323,0.41071281108777913,108.57688282808581,64.19243640155076,88.76097335562395
C-000023,28.4,77.23000000000012,203.4095198138993,0.581984553602507,112.46324695492532,42.98163097255928,66.25433405346344
C-000024,28.4,77.24000000000012,210.36228193099197,0.4660022644331831,176.54872774140867,31.223323127693085,52.277647997460235
