Date,Rainfall_mm,WaterLevel_m,SoilMoisture_pct,Elevation_m,FloodOccurrence
01-01-2015,18.72700594,2.275968732,37.57792004,31.93963179,0
02-01-2015,7.800932022,0.468007681,14.08278797,43.97792656,0
03-01-2015,30.05575059,2.017260167,19.63426001,48.64594335,0
04-01-2015,41.62213204,1.257120862,27.94138863,13.25320294,0
05-01-2015,15.21211215,1.353755106,27.5219842,18.10531131,0
06-01-2015,30.59264474,0.890840616,27.94213288,21.48628295,0
07-01-2015,22.80349921,2.026421907,22.83126323,28.14054973,0
08-01-2015,29.62072844,0.685315394,37.11256409,12.67358557,0
09-01-2015,3.252579649,1.962822667,39.94473489,41.37788067,0
10-01-2015,15.23068846,0.499957997,35.09619733,24.80686222,0
11-01-2015,6.101911742,1.112392055,12.86222916,45.91941809,0
12-01-2015,12.93899908,1.58382455,23.23303201,28.40306095,0
13-01-2015,27.33551397,0.91641919,47.28819302,39.88097705,0
14-01-2015,46.97494708,2.729153642,42.02948349,46.48434058,0
15-01-2015,4.424625103,0.480458227,12.6842062,19.63986488,0
16-01-2015,19.43386448,0.931375353,40.69228462,21.0538997,0
17-01-2015,14.04672548,1.366326676,18.44174439,41.09886413,0
18-01-2015,3.727532184,2.048324517,34.28560273,13.94220567,0
19-01-2015,0.276105856,1.636444974,31.28855207,37.80532256,0
20-01-2015,38.56351733,0.91935965,32.32302706,10.21410768,0
21-01-2015,43.15517129,2.10969968,32.87349213,7.860125763,0
22-01-2015,15.54911609,0.961348966,36.55292018,33.69008621,0
23-01-2015,44.36063713,1.831642593,26.89601852,37.09601543,0
24-01-2015,38.03925243,1.883339444,44.54079113,27.22080184,0
25-01-2015,26.13664147,1.377814866,18.60356624,9.855114215,0
26-01-2015,1.571459284,1.304250008,19.90211722,27.8856811,0
27-01-2015,45.3783237,1.406150932,35.9249848,38.99980123,0
28-01-2015,11.43990827,0.382757985,22.12451607,12.25495793,0
29-01-2015,46.48488262,2.545938411,42.94757748,44.21572656,0
30-01-2015,40.18360384,1.176812195,48.83185111,29.27040089,0
31-01-2015,40.37200776,2.599622755,31.65170658,9.952336604,0
01-02-2015,11.39675813,1.08215074,37.95947042,43.73287625,0
02-02-2015,0.347606527,1.028446736,22.62661205,14.99485147,0
03-02-2015,5.993268367,0.79509571,40.08527163,19.54413194,0
04-02-2015,25.93953109,1.92482854,28.6907474,48.73019372,0
05-02-2015,48.12236475,1.466011887,39.3541646,18.53952394,0
06-02-2015,14.24202472,0.358614389,32.55953744,27.62055605,0
07-02-2015,2.573937562,0.60877168,38.02015785,15.78028508,0
08-02-2015,7.244743605,1.123800393,41.7429367,15.89248722,0
09-02-2015,33.60677737,2.195374778,27.21115953,37.76973569,0
10-02-2015,18.38915664,1.632394794,34.52263831,29.10986078,0
11-02-2015,4.514488503,1.760894761,20.9777485,13.39333297,0
12-02-2015,2.038757078,1.222561028,30.93855798,5.746452302,0
13-02-2015,25.60465291,0.965084609,37.03657959,12.84648931,0
14-02-2015,34.54688691,1.464408431,48.46596573,11.18844249,0
15-02-2015,17.05331755,0.568013394,42.85680381,44.4802709,0
16-02-2015,12.89708139,1.57790972,38.38579042,29.98403652,0
